ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total
1,311001065489,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC CAMPO DAVID,Privado,A,25,25,5,386,20,9.609.670.639,9.006.509.781,8.959.478.378,481,445,434,87.30,91.92,95.07,91.43
2,311001105430,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LA COLINA                                                                                       ,Privado,B,22,22,21,372,28,8.482.491.493,9.367.835.999,9.323.954.582,479.5,480,455.5,89.35,90.58,93.00,90.98
3,315001001842,TUNJA,BOYACA,COLEGIO LOS ÁNGELES,Privado,A,47,46,34,365,23,9.442.520.142,9.443.507.195,89.174.757,465.5,434.5,424,84.45,92.68,93.95,90.36
4,376001013441,CALI,VALLE,COLEGIO BILINGUE DIANA OESE,Privado,B,48,48,4,389,28,9.794.955.254,8.785.610.199,8.500.076.294,471,442,438,87.00,90.27,93.29,90.18
5,408433075713,MALAMBO,ATLANTICO,CENTRO EDUCATIVO OASIS DE FE,Privado,A,3,3,3646,260,10,0,0,0,441.5,483.5,496,84.05,0.00,96.30,90.17
6,311769003342,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LOS NOGALES,Privado,B,60,59,19,372,23,974.009.037,8.356.338.501,8.074.432.373,468,461.5,460,88.08,87.24,94.08,89.80
7,425377076576,LA CALERA,CUNDINAMARCA,COL DE  CAMBRIDGE,Privado,A,51,51,189,342,30,913.007.164,9.459.846.497,9.285.360.336,450,446,450,84.40,92.92,91.94,89.75
8,311848002424,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN CARLOS                                                                                      ,Privado,B,101,97,12,376,26,966.784.668,8.356.513.977,8.364.676.476,467,462.5,443.5,87.45,87.96,93.28,89.56
9,425758800009,SOPÓ,CUNDINAMARCA,COL CAMPOALEGRE LTDA,Privado,B,23,23,29,366,26,0,0,0,449.5,439.5,454.5,85.48,0.00,93.37,89.42
10,311001076634,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVO COLOMBO AMERICANO,Privado,A,64,64,10,378,26,9.485.933.304,8.511.089.325,8.486.614.227,462,446,439.5,86.28,88.28,93.56,89.37
11,368001000516,FLORIDABLANCA,SANTANDER,COL NUEVO CAMBRIDGE,Privado,B,47,47,3,400,29,870.405.674,8.913.977.623,8.380.209.923,470.5,443,436,87.48,86.66,93.24,89.13
12,311001086320,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,Privado,A,67,67,11,376,25,9.445.204.735,8.344.333.649,82.208.395,470,443.5,420.5,85.50,86.70,93.77,88.66
13,311769000165,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN JORGE DE INGLATERRA,Privado,B,78,77,7,383,25,8.640.644.073,8.404.416.084,8.443.443.298,463.5,455,439.5,87.05,84.96,93.79,88.60
14,368276000826,FLORIDABLANCA,SANTANDER,COL LA QUINTA DEL PUENTE,Privado,B,19,19,2,401,32,8.594.468.117,8.882.110.596,8.421.165.466,476,432.5,426,86.78,86.33,92.61,88.57
15,311848000308,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANGLO AMERICANO,Privado,A,179,179,16,374,24,9.351.020.813,8.360.405.922,8.097.045.898,460.5,440.5,431.5,85.33,86.03,93.97,88.44
16,311769001781,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ABRAHAM LINCOLN,Privado,B,70,70,27,368,26,8.322.638.512,847.458.744,8.738.583.565,464.5,454.5,443.5,86.53,85.12,93.40,88.35
17,305001015503,ENVIGADO,ANTIOQUIA,COLEGIO LEONARDO DA VINCI,Privado,B,6,6,24,370,19,8.745.437.622,0,0,0,459.5,404.5,82.27,87.45,95.12,88.28
18,425175032666,CHÍA,CUNDINAMARCA,GIMNASIO EL HONTANAR,Privado,A,46,46,41,363,28,9.322.766.304,8.514.530.182,8.218.570.709,461,452.5,426,85.13,86.85,92.84,88.27
19,373001007662,IBAGUÉ,TOLIMA,COL  SAN BONIFACIO DE LAS LANZAS,Privado,A,47,47,33,365,22,939.997.673,8.281.699.181,8.211.378.098,450,421.5,434.5,83.55,86.31,94.32,88.06
20,311769003938,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING BUCKINGHAM,Privado,B,41,41,44,361,22,8.442.985.535,8.109.025.955,8.689.127.922,462,452,439,85.70,84.14,94.26,88.03
21,311001089221,BOGOTÁ D.C.,BOGOTÁ D.C.,INST ALBERTO MERANI,Privado,A,30,30,9,380,18,9.406.621.933,8.373.463.631,8.046.181.679,450.5,423.5,394.5,82.43,86.09,95.48,88.00
22,311848002351,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SANTA FRANCISCA ROMANA,Privado,B,60,60,37,364,21,8.613.855.362,8.302.979.469,8.302.146.912,457.5,448,438,85.38,84.06,94.55,87.99
23,354518001139,PAMPLONA,NORTE DE SANTANDER,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),Privado,A,20,20,6,386,24,928.676.033,8.382.689.476,8.754.951.477,453.5,402.5,390,81.60,88.08,94.15,87.94
24,425377800011,LA CALERA,CUNDINAMARCA,COLEGIO HACIENDA LOS ALCAPARROS,Privado,B,32,32,133,346,27,0,0,0,441,432.5,439,82.93,0.00,92.76,87.84
25,311001031088,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVA INGLATERRA,Privado,A,61,60,65,357,27,9.474.674.225,8.512.566.566,8.284.426.689,470,424,403,82.70,87.57,92.85,87.71
26,311848000278,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN VERMONT                                                                                        ,Privado,B,90,89,20,372,24,8.595.446.587,8.476.277.351,803.055.191,459,439.5,440,85.53,83.67,93.87,87.69
27,311848000341,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CAMPESTRE                                                                                      ,Privado,B,61,61,42,362,25,8.340.682.983,8.568.225.861,8.520.492.554,449.5,447,436.5,84.75,84.76,93.54,87.68
28,311001046077,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO INTERNACIONAL CAMINO A LA CIMA,Privado,A,9,9,366,328,32,0,0,9.031.168.938,409.5,442,452.5,81.60,90.31,91.11,87.67
29,311001105375,BOGOTÁ D.C.,BOGOTÁ D.C.,COL  MONTESSORI BRITISH SCHOOL,Privado,B,50,50,25,369,22,8.482.172.012,8.293.253.899,8.506.099.701,453.5,426.5,429.5,83.93,84.27,94.37,87.52
30,311001107289,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN ALESSANDRO VOLTA,Privado,B,14,14,8,382,22,8.419.969.559,8.468.832.016,8.183.954.239,451,427.5,424.5,84.25,83.58,94.55,87.46
31,363001002916,CIRCASIA,QUINDIO,LICEO ANGLO COLOMBIANO,Privado,B,5,5,184,342,20,0,0,0,471.5,387,407.5,80.40,0.00,94.48,87.44
32,341001005652,NEIVA,HUILA,COL EMPRESARIAL DE LOS ANDES,Privado,A,15,14,252,336,28,9.008.253.098,870.222.187,0,425,411.5,458.5,81.55,88.55,91.79,87.30
33,311001094403,BOGOTÁ D.C.,BOGOTÁ D.C.,COL REUVEN FEUERSTEIN,Privado,A,17,17,60,358,30,9.280.715.942,8.176.729.202,8.266.741.753,451.5,429.5,437.5,83.83,85.75,92.27,87.28
34,305001010781,MEDELLÍN,ANTIOQUIA,COL MONTESSORI,Privado,B,57,57,49,360,26,925.694.561,8.232.299.805,8.137.270.927,466,422,413.5,83.08,85.42,93.26,87.25
35,311001087288,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN LA MONTAÑA                                                                                     ,Privado,B,36,36,36,365,30,8.553.514.481,8.415.714.264,8.492.707.253,460,423.5,440.5,84.45,84.87,92.41,87.24
36,311769003920,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING CLERMONT,Privado,B,23,23,56,359,26,8.331.628.799,8.254.512.787,8.676.272.392,452.5,429.5,444,84.25,84.21,93.25,87.23
37,311769000921,BOGOTÁ D.C.,BOGOTÁ D.C.,COL HELVETIA                                                                                        ,Privado,B,51,51,59,358,25,8.378.124.237,8.276.295.662,8.545.783.997,445,444,432,83.95,84.00,93.47,87.14
38,313001005705,CARTAGENA DE INDIAS,BOLIVAR,COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI),Privado,A,20,19,173,344,42,8.812.097.549,8.846.063.614,8.577.517.509,470.5,441,451.5,85.35,87.45,88.58,87.13
39,311848000286,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN DE LOS CERROS                                                                                  ,Privado,B,46,46,43,362,27,8.690.888.405,8.669.887.543,8.316.332.817,465.5,420,406,82.68,85.59,93.06,87.11
40,308001004209,BARRANQUILLA,ATLANTICO,COLEGIO MARYMOUNT,Privado,B,59,59,105,350,23,8.313.555.717,8.156.472.206,861.128.521,439,429.5,458,83.83,83.60,93.83,87.09
41,325899090264,ZIPAQUIRÁ,CUNDINAMARCA,COLEGIO SAN ALBERTO MAGNO,Privado,A,27,27,83,354,28,9.296.020.508,8.496.608.734,8.085.410.118,449.5,426,417,82.33,86.26,92.67,87.09
42,308001001871,BARRANQUILLA,ATLANTICO,NUEVO COLEGIO DEL PRADO,Privado,A,70,70,14,375,30,9.508.633.614,829.437.542,8.440.005.302,455.5,387.5,397,80.75,87.48,92.59,86.94
43,376001012606,CALI,VALLE,ASPAEN LICEO TACURÍ,Privado,B,18,18,125,347,29,8.362.780.571,8.995.581.627,8.707.803.726,433,436.5,415.5,81.60,86.89,92.29,86.92
44,311769000866,BOGOTÁ D.C.,BOGOTÁ D.C.,FUND NUEVO MARYMOUNT                                                                                ,Privado,B,57,57,50,360,26,8.452.051.163,8.197.485.924,8.199.596.405,439.5,443.5,449,84.60,82.83,93.26,86.90
45,350001005317,VILLAVICENCIO,META,COL NUEVO GIMNASIO,Privado,A,55,55,118,348,28,9.344.414.711,8.719.631.195,8.070.884.705,428,434,407,80.85,87.12,92.55,86.84
46,373001004396,IBAGUÉ,TOLIMA,COL INGLES,Privado,A,18,17,18,374,30,9.143.667.221,8.811.163.902,8.086.015.701,437.5,418.5,401,81.55,86.80,92.16,86.84
47,350001001095,VILLAVICENCIO,META,COLEGIO ESPIRITU SANTO,Privado,A,43,43,47,361,32,9.242.164.612,805.907.917,6.982.998.848,459.5,458,472.5,87.55,80.95,91.86,86.78
48,368001006255,BUCARAMANGA,SANTANDER,COL BILINGUE DIVINO NIÑO,Privado,A,13,13,53,359,20,9.406.486.511,7.973.526.001,8.071.277.618,422,445,389.5,80.78,84.84,94.72,86.78
49,315001002920,TUNJA,BOYACA,AMERICAN SCHOOL SAINT FRANCES,Privado,A,15,15,129,346,22,9.315.820.694,8.127.752.304,7.991.643.906,437,420,421,81.20,84.78,94.02,86.67
50,366001004926,PEREIRA,RISARALDA,COL LIC FRANCES DE PEREIRA,Privado,B,40,40,58,358,20,8.393.466.949,8.174.949.646,8.308.677.673,442.5,424.5,422,82.35,82.92,94.71,86.66
51,311769004292,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN MATEO APOSTOL                                                                               ,Privado,B,44,44,30,366,29,8.503.376.007,8.159.479.141,8.254.714.966,461.5,430.5,426.5,84.23,83.06,92.66,86.65
52,311848002262,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ITALIANO LEONARDO DA VINCI,Privado,B,76,76,89,353,26,8.416.156.769,8.137.008.667,8.191.363.335,450,428.5,449.5,84.05,82.48,93.14,86.56
53,311001005176,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC NAVARRA,Privado,A,48,48,17,374,27,935.794.735,8.052.642.822,7.921.020.508,460.5,406,398.5,81.95,84.44,93.27,86.55
54,311769002818,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO INTERNACIONAL DE EDUCACION INTEGRAL - CIEDI,Privado,B,45,45,101,351,26,8.336.975.098,8.187.767.982,8.305.789.948,448,440,431.5,83.53,82.77,93.10,86.47
55,311769000556,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN PATRICIO,Privado,A,16,16,62,357,22,9.164.516.449,7.980.660.915,8.143.931.389,442.5,406,411.5,80.85,84.30,94.20,86.45
56,311001045160,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO LOS PORTALES COLEGIO BILINGÜE,Privado,B,39,39,84,354,28,8.391.876.221,838.106.823,8.596.811.295,439.5,427.5,420,82.05,84.57,92.67,86.43
57,305360000180,ITAGÜÍ,ANTIOQUIA,COLEGIO ALEMAN,Privado,A,73,73,135,346,29,9.157.037.735,8.394.454.956,8.041.303.635,427.5,427.5,431,81.60,85.31,92.27,86.39
58,376001002376,CALI,VALLE,COLEGIO HISPANOAMERICANO,Privado,B,78,77,40,363,26,8.566.895.485,8.310.437.202,8.349.428.177,440,418,414,81.75,84.09,93.23,86.36
59,311001105481,BOGOTÁ D.C.,BOGOTÁ D.C.,EL CAMINO ACADEMY                                                                                   ,Privado,B,21,21,126,347,34,8.537.836.075,8.467.129.707,8.126.433.372,453.5,435.5,443.5,83.98,83.77,91.08,86.27
60,311001090921,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO CORAZONISTA,Privado,A,131,130,28,368,27,9.343.066.216,8.218.223.572,7.995.060.921,437,405,399,80.45,85.19,93.11,86.25
61,476892099710,YUMBO,VALLE,COLEGIO INTERNACIONAL LOS CAÑAVERALES,Privado,B,8,8,148,345,15,8.405.439.377,0,8.121.738.434,421.5,421.5,416,80.20,82.64,95.83,86.22
62,308001073952,PUERTO COLOMBIA,ATLANTICO,COLEGIO ALTAMIRA,Privado,B,49,49,46,361,26,8.348.831.177,8.138.383.865,8.399.501.801,427,427,432,82.35,82.96,93.28,86.20
63,311001047863,CAJICÁ,CUNDINAMARCA,FUNDACION COLEGIO CARDENAL JHON HENRY NEWMAN                         ,Privado,B,35,35,185,342,22,8.141.462.326,847.833.252,8.483.294.487,433,428.5,415.5,80.95,83.68,93.96,86.19
64,376001002279,CALI,VALLE,COLEGIO COLOMBO BRITÁNICO,Privado,B,86,85,66,357,27,8.292.564.392,8.354.166.031,8.335.659.027,432,434,422.5,82.28,83.27,92.89,86.15
65,425175001213,CHÍA,CUNDINAMARCA,COL ABRAHAM MASLOW,Privado,A,17,17,192,342,34,9.035.206.795,8.175.299.644,0,433,435.5,418,81.43,86.05,90.96,86.14
66,308001012805,PUERTO COLOMBIA,ATLANTICO,ASPAEN GIMNASIO LOS CORALES,Privado,B,3,3,468,322,41,8.258.630.753,0,9.013.420.105,454,454,437,83.35,86.36,88.71,86.14
67,425214000149,COTA,CUNDINAMARCA,COL REFOUS,Privado,A,78,77,45,361,23,9.328.047.752,8.325.522.423,7.858.161.449,439,407,378.5,79.28,85.04,93.93,86.08
68,311848002611,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC  DE CERVANTES PADRES AGUSTINOS,Privado,A,91,90,74,356,31,9.307.683.945,8.028.125.763,8.027.095.795,441,431.5,405.5,81.70,84.54,91.90,86.05
69,308001001013,BARRANQUILLA,ATLANTICO,COLEGIO NUESTRA SEÑORA DEL BUEN CONSEJO,Privado,A,61,61,149,345,23,9.199.581.146,8.335.156.441,8.104.580.879,404,413,416,78.90,85.46,93.75,86.04
70,108001009783,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL ALEXANDER VON HUMBOLDT,Oficial,A,62,61,80,355,34,9.267.697.334,8.298.103.333,8.012.907.028,445.5,430.5,403.5,81.73,85.26,91.12,86.04
71,368001000729,BUCARAMANGA,SANTANDER,COL  SAN PEDRO CLAVER,Privado,A,111,111,54,359,26,9.357.683.182,8.094.088.554,7.970.818.996,430.5,406.5,404.5,80.03,84.74,93.25,86.00
72,315001002288,TUNJA,BOYACA,COLEGIO ANDINO DE TUNJA,Privado,A,25,25,87,353,25,9.303.731.918,840.809.536,7.975.907.326,433,404.5,388,78.93,85.63,93.39,85.98
73,315001002911,TUNJA,BOYACA,GIMNASIO VILLA FONTANA,Privado,A,19,18,206,340,18,0,8.198.020.935,8.196.176.529,474,416,393.5,81.18,81.97,94.71,85.95
74,308758001258,SOLEDAD,ATLANTICO,NUEVO COLEGIO MARIA MONTESSORI,Privado,A,18,18,378,327,28,8.429.121.971,9.361.865.044,8.698.343.277,478,358.5,383.5,77.35,88.30,92.11,85.92
75,305001000115,RETIRO,ANTIOQUIA,COLEGIO SAN JOSE DE LAS VEGAS,Privado,A,63,63,154,345,32,923.561.573,8.534.772.873,7.984.986.782,436,414.5,407.5,80.15,85.85,91.51,85.84
76,325473000853,MOSQUERA,CUNDINAMARCA,COLEGIO BILINGÜE MELANIE KLEIN SCHOOL,Privado,A,60,60,221,339,27,9.162.849.426,8.100.728.989,8.171.925.545,430,419.5,413.5,80.10,84.79,92.62,85.84
77,313836000348,CARTAGENA DE INDIAS,BOLIVAR,ASPAEN GIMNASIO CARTAGENA DE INDIAS,Privado,B,27,27,107,350,30,828.350.544,8.517.268.181,8.584.384.918,433.5,412.5,419.5,80.78,84.62,92.11,85.83
78,311001019568,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC FRANCES LOUIS PASTEUR,Privado,B,113,102,76,355,27,8.390.818.596,8.340.434.074,8.302.031.517,436,425.5,418.5,81.75,83.44,92.24,85.81
79,368001002322,BUCARAMANGA,SANTANDER,INST  CALDAS,Privado,A,28,28,61,357,20,9.212.600.708,8.022.171.021,7.954.905.987,440.5,391,386.5,78.75,83.97,94.69,85.80
80,376001026968,CALI,VALLE,COLEGIO FREINET,Privado,B,44,44,39,364,27,828.676.033,8.040.691.376,8.468.837.738,448,412.5,407.5,81.60,82.65,93.09,85.78
81,354001000370,CÚCUTA,NORTE DE SANTANDER,COL CALASANZ,Privado,A,91,91,55,359,26,934.472.847,8.105.992.317,7.972.985.268,428.5,397.5,402,79.35,84.75,93.25,85.78
82,354001006572,CÚCUTA,NORTE DE SANTANDER,COL GIMN PARAISO ANTARES,Privado,A,8,8,223,339,40,9.091.944.695,8.050.982.475,0,414.5,394.5,495,82.15,85.71,89.45,85.77
83,405607000476,RETIRO,ANTIOQUIA,COLEGIO GIMNASIO VERMONT,Privado,B,29,29,151,345,27,8.323.231.697,8.166.656.494,8.292.632.103,439,434.5,417.5,81.80,82.61,92.74,85.72
84,368001002411,FLORIDABLANCA,SANTANDER,FUND COL UIS,Privado,A,98,98,71,356,28,9.306.716.919,8.219.180.107,8.061.024.666,428,407.5,391.5,79.15,85.29,92.71,85.72
85,376111000263,GUADALAJARA DE BUGA,VALLE,COL MAYOR CIUDAD DE BUGA,Privado,B,46,46,921,304,42,7.665.970.802,8.050.133.705,9.418.313.026,450.5,461.5,490.5,85.33,83.78,87.86,85.66
86,311001105707,BOGOTÁ D.C.,BOGOTÁ D.C.,COL CALATRAVA,Privado,B,22,17,75,355,26,8.417.757.034,8.163.547.516,8.344.804.764,451.5,426,412,82.23,83.09,91.62,85.65
87,341001005571,NEIVA,HUILA,COL  ANGLOCANADIENSE DE NEIVA,Privado,A,29,29,23,371,23,9.158.316.612,8.268.281.937,8.408.456.802,406,393.5,362,76.63,86.12,94.16,85.63
88,450606000371,VILLAVICENCIO,META,COLEGIO NEIL ARMSTRONG,Privado,A,22,22,157,345,35,929.117.775,7.963.912.964,0,433,408.5,406,79.63,86.28,90.79,85.56
89,368081000937,BARRANCABERMEJA,SANTANDER,COL EL ROSARIO,Privado,A,43,43,31,366,35,9.396.906.853,8.329.097.748,7.940.312.862,434,398.5,396.5,79.75,85.55,91.27,85.53
90,311769000475,BOGOTÁ D.C.,BOGOTÁ D.C.,ASPAEN GIMNASIO IRAGUA,Privado,B,54,53,85,354,33,8.270.254.135,8.262.677.193,833.983.326,432,437,423.5,82.33,82.91,91.31,85.52
91,311001042667,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN FONTANA                                                                                        ,Privado,B,54,54,208,340,26,8.220.077.515,7.955.954.552,8.571.299.553,423.5,424.5,435,81.15,82.49,92.90,85.51
92,311769003474,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANDINO                                                                                          ,Privado,B,116,116,152,345,30,83.483.181,8.132.271.767,8.198.177.338,432.5,437.5,429.5,82.23,82.26,92.00,85.50
93,311848000812,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN FEMENINO                                                                                       ,Privado,B,35,35,98,351,24,8.292.339.325,8.065.599.442,8.198.716.164,412,432,424.5,80.98,81.86,93.60,85.48
94,468547002051,PIEDECUESTA,SANTANDER,ASPAEN GIMNASIO CANTILLANA,Privado,A,31,31,22,372,41,9.374.164.581,8.213.093.758,7.829.344.749,423.5,434,403,81.63,84.72,90.07,85.47
95,311001076642,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING NUEVA ALEJANDRIA,Privado,A,14,14,63,357,25,9.156.573.296,8.349.838.257,7.821.796.417,435.5,391.5,382.5,78.33,84.43,93.46,85.40
96,305001003955,MEDELLÍN,ANTIOQUIA,COMUNIDAD COLEGIO JESUS MARIA,Privado,A,62,62,159,345,39,9.242.124.557,8.163.034.439,794.630.146,444,427,420,81.80,84.50,89.84,85.38
97,311848001011,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANGLO COLOMBIANO                                                                                ,Privado,B,128,127,193,342,37,8.306.985.855,8.178.072.929,8.509.339.333,440.5,430,440.5,82.65,83.31,90.16,85.38
98,311848000693,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),Privado,B,118,113,197,341,28,8.143.280.029,7.938.557.625,850.757.122,432,428.5,439.5,82.05,81.96,92.09,85.37
99,376001024175,CALI,VALLE,COL SANTA  JUANA DE ARCO SEDE # 2,Privado,A,17,17,2402,273,37,7.445.738.316,8.260.643.005,9.390.492.439,443.5,486.5,484,84.35,83.66,88.06,85.36
100,108001007675,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL JORGE NICOLAS ABELLO,Oficial,A,65,65,944,303,38,8.115.146.637,836.520.195,8.672.049.522,421.5,460.5,482,83.35,83.84,88.86,85.35
101,311001002347,COTA,CUNDINAMARCA,COL JOSE MAX LEON,Privado,B,43,43,138,346,30,8.427.641.869,8.111.291.885,8.390.775.681,457,410,404,80.85,83.10,92.02,85.32
102,325214000179,COTA,CUNDINAMARCA,LICEO DE LOS ANDES,Privado,A,7,7,128,346,16,8.458.576.202,7.959.358.215,7.977.464.676,417,411,405.5,78.98,81.32,95.58,85.29
103,466001005358,PEREIRA,RISARALDA,LICEO PINO VERDE,Privado,A,27,27,91,353,34,8.980.667.114,8.156.996.727,8.168.901.443,442.5,406.5,401,80.15,84.36,91.21,85.24
104,311848000936,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SANTA MARIA                                                                                     ,Privado,B,80,80,199,341,31,8.303.266.525,8.181.402.206,8.495.201.111,431,439,404,80.75,83.27,91.67,85.23
105,311001010820,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN BARTOLOME LA MERCED,Privado,B,119,119,88,353,26,8.374.635.696,8.089.942.932,8.186.374.664,433.5,416.5,403.5,80.33,82.17,93.14,85.21
106,313001003931,CARTAGENA DE INDIAS,BOLIVAR,COLEGIO JORGE WASHINGTON,Privado,B,36,34,92,353,40,8.380.449.295,7.957.133.293,807.256.031,438.5,447,461.5,85.00,81.37,89.26,85.21
107,311001098051,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CRISTIANO LOS ANDES,Privado,A,11,11,99,351,25,9.151.924.133,8.490.204.811,8.234.167.099,407,373,389,76.00,86.25,93.35,85.20
108,308001077745,BARRANQUILLA,ATLANTICO,COLEGIO REAL (ROYAL SCHOOL),Privado,B,50,50,155,345,33,8.251.656.532,8.194.915.771,8.626.971.245,424.5,415,430,80.73,83.58,91.27,85.19
109,425799000459,TENJO,CUNDINAMARCA,GIMNASIO CAMPESTRE SAN RAFAEL,Privado,B,18,18,134,346,27,8.743.059.158,8.545.397.758,7.943.107.605,453.5,395.5,378,78.65,84.11,92.76,85.17
110,325769000433,TENJO,CUNDINAMARCA,LIC ESPAÑOL PEREZ GALDOS,Privado,A,16,15,161,344,21,9.204.195.976,8.300.046.921,0,412,388.5,335.5,74.00,87.52,93.89,85.14
111,376001009176,CALI,VALLE,COLEGIO LAURETTA BENDER,Privado,B,20,20,145,346,34,798.860.693,8.960.354.805,8.478.397.369,421.5,396.5,424,79.40,84.76,91.05,85.07
112,313001004768,CARTAGENA DE INDIAS,BOLIVAR,COLEGIO BRITANICO DE CARTAGENA,Privado,B,19,19,68,357,31,821.449.852,8.152.504.921,8.181.218.147,444.5,421.5,403.5,81.33,81.83,92.01,85.05
113,366001006112,PEREIRA,RISARALDA,COL SAINT ANDREWS,Privado,A,8,8,297,333,29,8.970.645.905,0,7.877.093.315,428,405,412,78.90,84.24,91.99,85.04
114,376001011464,CALI,VALLE,COLEGIO GIMNASIO LA COLINA,Privado,B,26,26,97,351,22,8.356.967.926,824.946.785,8.186.950.684,0,422.5,402,78.37,82.64,94.10,85.04
115,308001013054,PUERTO COLOMBIA,ATLANTICO,INTERNATIONAL BERCKLEY SCHOOL,Privado,B,28,28,318,332,43,8.310.848.236,8.204.097.748,8.704.264.641,431,436.5,448,82.38,84.06,88.53,84.99
116,311001000832,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN MODERNO,Privado,A,66,62,201,341,35,9.086.481.094,8.148.932.457,8.184.415.817,425,419.5,416.5,80.10,84.73,90.13,84.99
117,308001075645,BARRANQUILLA,ATLANTICO,COLEGIO DAVID,Privado,B,12,12,493,320,33,7.927.815.914,8.585.207.939,0,425.5,436,453,81.73,82.57,90.65,84.98
118,411001094661,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC CAMBRIDGE,Privado,A,32,32,131,346,26,9.098.930.359,8.089.134.216,0,400,386.5,386,75.93,85.94,93.01,84.96
119,313836000623,CARTAGENA DE INDIAS,BOLIVAR,ASPAEN GIMNASIO CARTAGENA,Privado,B,24,24,77,355,27,8.326.896.667,8.497.013.092,7.716.322.422,442.5,395.5,409,80.10,81.80,92.93,84.94
120,305001003769,MEDELLÍN,ANTIOQUIA,COL MARYMOUNT,Privado,B,46,44,248,336,26,7.984.539.986,7.938.429.832,7.993.578.911,434.5,441,438,82.48,79.72,92.51,84.90
121,385001003916,YOPAL,CASANARE,COLEGIO ALIANZA PEDAGOGICA,Privado,A,23,23,64,357,26,9.381.378.174,7.989.517.689,7.999.109.268,416,396.5,367,76.83,84.57,93.21,84.87
122,476001029953,CALI,VALLE,COLEGIO LA ARBOLEDA,Privado,B,32,31,81,354,22,8.282.852.173,8.056.660.652,8.121.717.453,426.5,397.5,403.5,79.08,81.54,93.97,84.86
123,315516000628,PAIPA,BOYACA,IE JUAN BAUTISTA MARIA VIANNEY,Privado,A,47,46,222,339,30,9.318.401.337,802.816.391,8.232.625.008,423,398.5,391.5,77.60,85.26,91.70,84.85
124,308001011353,PUERTO COLOMBIA,ATLANTICO,COLEGIO ANGLOCOLOMBIA,Privado,B,12,12,907,304,34,799.548.769,8.061.097.145,0,438.5,475.5,468.5,84.33,80.28,89.94,84.85
125,311001093652,BOGOTÁ D.C.,BOGOTÁ D.C.,COL AGUSTINIANO CIUDAD SALITRE,Privado,A,161,156,111,349,26,9.099.949.837,8.038.962.364,7.972.059.727,417.5,402,389.5,77.90,83.70,92.85,84.82
126,368679000478,SAN GIL,SANTANDER,LICEO SUPERIOR RAFAEL POMBO,Privado,A,16,15,451,323,40,0,786.338.377,864.117.527,438.5,452,459,83.63,82.52,88.29,84.81
